rp_min,rp_max,n_pairs,rp,ds_raw,ds,z_l,z_s,1+m,ds_r,ds_err
0.1,0.15848931924611134,9069,0.12589254117941673,38.12456909354674,38.66174157264286,0.3632430116507186,0.735494916245023,1.0000821324240512,-0.5403034852145615,6.795418772990504
0.15848931924611134,0.251188643150958,22092,0.19952623149688797,29.55194519840647,27.58327185514178,0.3625659403235006,0.741014617499546,1.0003872487242222,1.9572338201290602,4.548543383120663
0.251188643150958,0.3981071705534973,54967,0.31622776601683794,19.464406023858388,18.498631539370407,0.36302948125770085,0.7426353610002056,1.000510757863076,0.9558379612185802,2.5841920798691422
0.3981071705534973,0.6309573444801934,135176,0.5011872336272724,17.38616410213998,17.1667949207888,0.36299456345772757,0.7447698123663582,1.000646081339175,0.20814355783082555,1.5680562827659845
0.6309573444801934,1.0,334917,0.7943282347242816,10.198495944486146,10.141859382084919,0.3630656176060768,0.7468381300916184,1.0007673177606984,0.04881707536189807,1.091590852983976
1.0,1.584893192461114,829686,1.2589254117941675,6.690671311383843,7.017238706379418,0.36323438656729307,0.7480083173149269,1.000854464676063,-0.33227945653548696,0.6791227119169755
1.584893192461114,2.511886431509581,2065209,1.9952623149688804,4.076179219976187,3.915563898323903,0.3633314597005431,0.7493828281841308,1.0009297316527646,0.15682908898948256,0.4826700284213514
2.511886431509581,3.981071705534973,5141230,3.16227766016838,1.934148702503017,1.9787751446553956,0.36354819866663574,0.749620431965505,1.000946370286935,-0.046455132396829815,0.2866162650271492
3.981071705534973,6.309573444801933,12874950,5.011872336272724,1.1857147797393608,1.1843394298460357,0.3634713963639176,0.7497970792826657,1.0009595388935808,0.00023870110419306272,0.19433816734868045
6.309573444801933,10.0,32178506,7.943282347242816,0.6494362718474216,0.6779406858800024,0.36341849299785456,0.7498651852581013,1.000962331374373,-0.029128786079825053,0.12524839322185785
10.0,15.848931924611142,80235969,12.589254117941675,0.5822512559955181,0.5080139766715215,0.36340514765131027,0.749949440901418,1.0009673359807374,0.07367459104286295,0.09469121584867173
15.848931924611142,25.11886431509582,199813685,19.952623149688808,0.33945982947437187,0.3357797294107438,0.3633324361567265,0.7500272521128595,1.0009695737085291,0.003351287545840245,0.07905516479001873
25.11886431509582,39.810717055349734,493446393,31.62277660168381,0.23799406135428644,0.24853429011531833,0.3634825868582745,0.7503119802757979,1.0009849512765627,-0.010774410657818962,0.08043637737036549
