rp_min,rp_max,n_pairs,rp,ds_raw,ds,z_l,z_s,1+m,R_t,1+m_sel,ds_r,ds_err
0.1,0.15848931924611134,6955,0.12589254117941673,21.78435794271849,45.25217005151555,0.5929990787118317,0.9357770600873418,0.9631,0.5428340626860327,1.0174565267618565,-2.8564367151798375,8.75249437175312
0.15848931924611134,0.251188643150958,14900,0.19952623149688797,13.95164526078744,27.499883182711024,0.5928855218897996,0.9357770600873486,0.9631000000000001,0.580472899579631,1.0174565267618565,-2.108406678651981,5.605738097447463
0.251188643150958,0.3981071705534973,33840,0.31622776601683794,10.808263887258837,17.319711362592773,0.5924631463437573,0.9357770600873353,0.9631000000000001,0.6008565048718217,1.0174565267618565,1.6836160752883982,3.674220885885218
0.3981071705534973,0.6309573444801934,79563,0.5011872336272724,8.269861355050464,14.72346488967306,0.5920107419010078,0.935777060087341,0.9630999999999998,0.6044454781085742,1.0174565267618565,-0.26954727886379864,2.706226485716687
0.6309573444801934,1.0,192707,0.7943282347242816,4.377626293161455,7.824559313128215,0.5919302487776436,0.9357770600873441,0.9631000000000002,0.6042381332116569,1.0174565267618565,-0.17079590196102537,1.3531018817050384
1.0,1.584893192461114,471812,1.2589254117941675,3.435480413929973,6.008578003148044,0.5917967190346205,0.9357770600873497,0.9630999999999997,0.6032569101350311,1.0174565267618567,0.007724306861212667,0.9656363564608413
1.584893192461114,2.511886431509581,1174303,1.9952623149688804,2.155884804826157,3.6833649310760714,0.5916862743028545,0.9357770600873505,0.9630999999999998,0.6039572592673796,1.0174565267618565,0.08769839189543122,0.5525783850726639
2.511886431509581,3.981071705534973,2918951,3.16227766016838,0.8321596140098945,1.3647858110937918,0.5915979273826845,0.9357770600873424,0.9631000000000001,0.6037688649757904,1.0174565267618565,0.09127797459061847,0.4204426320428115
3.981071705534973,6.309573444801933,7296026,5.011872336272724,0.574164698850612,1.145870318230624,0.5915550367003324,0.9357770600873536,0.9631,0.6042796852818908,1.0174565267618567,-0.14208006994471728,0.23120513910388868
6.309573444801933,10.0,18214086,7.943282347242816,0.5005942617050237,0.864439238563921,0.591579940334089,0.9357770600873402,0.9631000000000002,0.6040372190929217,1.0174565267618565,0.011081921299820724,0.16375923452700086
10.0,15.848931924611142,45513031,12.589254117941675,0.23660695184217456,0.42586624782397514,0.5915972325408078,0.9357770600873384,0.9631000000000003,0.6038714064334729,1.0174565267618565,-0.011935666155510154,0.1138922657832541
15.848931924611142,25.11886431509582,113803186,19.952623149688808,0.2627880505083671,0.44952763071307933,0.591586449851593,0.9357770600873347,0.9631000000000005,0.603965829824849,1.0174565267618565,0.010133439373846906,0.08017610825047156
25.11886431509582,39.810717055349734,284162264,31.62277660168381,0.13121943207327075,0.23160812861476265,0.5916233945094341,0.935777060087334,0.9631000000000002,0.6041835901759725,1.0174565267618565,-0.002165712431344195,0.05550646249442753
