rp_min,rp_max,n_pairs,rp,ds_raw,ds,z_l,z_s,1+m,R_t,ds_r,ds_err
0.1,0.15848931924611134,25156,0.12589254117941673,16.63112635228245,31.36530090442516,0.5932237799394371,0.9080653932201952,0.9627,0.5691746365471594,-1.0134519463725449,3.445143741296819
0.15848931924611134,0.251188643150958,52263,0.19952623149688797,12.592206942602756,22.167564171027497,0.5918973141304669,0.9080653932201957,0.9627,0.5960130444394802,-0.2215772698635038,2.6438201814999593
0.251188643150958,0.3981071705534973,116223,0.31622776601683794,10.030849239539446,17.391998015790804,0.5909552424616561,0.9080653932201952,0.9627,0.5996071639731096,-0.01479326666982147,1.7207962665467527
0.3981071705534973,0.6309573444801932,271098,0.5011872336272724,6.227026561385526,10.629457954031812,0.5904130840330317,0.9080653932201953,0.9627,0.6049304585120371,0.06316602243325321,0.9660956429008689
0.6309573444801932,1.0,650233,0.7943282347242815,4.474471694557346,7.723669555205418,0.5898732527127198,0.9080653932201947,0.9627,0.604360181239512,-0.033162932238337384,0.83402648684523
1.0,1.584893192461114,1592144,1.2589254117941675,2.9121459416459934,5.058432603711981,0.5895255482288284,0.9080653932201953,0.9627,0.6056548783768427,-0.06387594386917257,0.4389053530734099
1.584893192461114,2.511886431509581,3952064,1.9952623149688804,1.667623504730799,2.913581003108092,0.5894868238578593,0.9080653932201954,0.9627,0.6041930335273288,-0.04655704251204648,0.23342846509765705
2.511886431509581,3.981071705534973,9858869,3.16227766016838,0.8381049044993992,1.4303878022621217,0.5894625399616182,0.9080653932201952,0.9627,0.6041979672661968,0.010493316665110034,0.20773448245619852
3.981071705534973,6.309573444801933,24644960,5.011872336272724,0.659826986796292,1.151240680517117,0.5893841583005635,0.908065393220196,0.9627,0.6042682077083195,-0.016989194417145383,0.12832734037195176
6.309573444801933,10.0,61662018,7.943282347242816,0.37320225300447074,0.6382014467688493,0.5893463932647512,0.9080653932201961,0.9627,0.60423502605446,0.0033734879097715507,0.08112549109959351
10.0,15.848931924611142,154518933,12.589254117941675,0.27281284136826006,0.4645601053089526,0.589342443241126,0.9080653932201953,0.9627,0.6040390163515674,0.0045867886059884335,0.06294979717111583
15.848931924611142,25.11886431509582,387590039,19.952623149688808,0.2307315784085813,0.374347148852687,0.5893561530693956,0.9080653932201951,0.9627,0.603764610232325,0.02261437312164876,0.03977081144076837
25.11886431509582,39.810717055349734,972188355,31.62277660168381,0.14596599681598546,0.23046429481915048,0.5893429049129228,0.9080653932201954,0.9627,0.6036493629929996,0.020710455356188824,0.02865728500038806
