rp_min,rp_max,n_pairs,rp,ds_raw,ds,z_l,z_s,1+m,2R,1+m_sel,ds_r,ds_err
0.1,0.15848931924611134,51446,0.12589254117941673,75.79608339622341,50.413955999626616,0.2373951258747116,1.0091803729634494,0.8779728473778289,1.6835668737949454,1.0124987457116488,0.23153830834994468,2.8072641496677457
0.15848931924611134,0.251188643150958,132016,0.19952623149688797,56.698638862931055,38.018222245968985,0.23805888183877913,1.013605434373426,0.8772338644979876,1.6836820477209666,1.0112208333251755,-0.056041315947631815,1.4040716366283166
0.251188643150958,0.3981071705534973,335217,0.31622776601683794,34.09106273458832,22.836506383094033,0.2380757588969696,1.0131832754901204,0.8766724929530881,1.6837561615175012,1.0114952201790957,-0.0036562044774520472,0.9809702034721662
0.3981071705534973,0.6309573444801932,839532,0.5011872336272724,24.54381175806148,16.36320687202267,0.23805404946816666,1.0140278792183934,0.877090673125291,1.6838259453816078,1.0112394381917575,0.07090817075820079,0.6712579156942766
0.6309573444801932,1.0,2112774,0.7943282347242815,16.277477172525828,10.890600699270955,0.23795531164945258,1.014144560948495,0.8774209898776053,1.6838997316002622,1.011219085195316,0.004157355699693827,0.47544916288662703
1.0,1.584893192461114,5279681,1.2589254117941675,10.923691506008396,7.2511711663643235,0.23779889934747445,1.0144704151205512,0.8774761979367633,1.6839000204678876,1.0111009291575996,0.060611436826426654,0.3417573645801194
1.584893192461114,2.511886431509581,13239181,1.9952623149688804,7.044253245862899,4.727068654041258,0.2378948759101059,1.0140052350622473,0.8775402205695413,1.6839214843639785,1.0112324945860454,-0.01300898414479052,0.272086048843539
2.511886431509581,3.981071705534973,33205244,3.16227766016838,3.4485586479929284,2.2955269818302018,0.23793789233686222,1.0138146515650805,0.8775578273095672,1.6839485242688434,1.0112765084708315,0.012086892587845652,0.15682098433719294
3.981071705534973,6.309573444801933,83411817,5.011872336272724,1.9237835337979243,1.2973513074284044,0.23782389221319938,1.0137599922334468,0.8775710807847483,1.6839493869913522,1.0114146841566645,-0.010241465375946328,0.14116909258192437
6.309573444801933,10.0,209242100,7.943282347242816,1.2513308376034185,0.8331671698460914,0.23771385682871843,1.0137807096689704,0.8775661557362111,1.6839493774668906,1.0113799592219468,0.00407078105459427,0.09616969310856975
10.0,15.848931924611142,523412488,12.589254117941675,0.8695018193620935,0.5900809036776851,0.23766260274079148,1.013741401809736,0.8776061012227085,1.6839403996035802,1.0114047315955466,-0.008353980684145168,0.08533817277694893
15.848931924611142,25.11886431509582,1303712188,19.952623149688808,0.5916078387883557,0.4051764109976082,0.23766067466530477,1.013634318865794,0.877623634995963,1.683960021212842,1.011394691008037,-0.009378805164761982,0.071092643652275
25.11886431509582,39.810717055349734,3241454666,31.62277660168381,0.4846448222269431,0.3063594021132662,0.23764439222082942,1.0135780737921174,0.8777856989518041,1.683986378643484,1.0114556909921462,0.01779329514917017,0.06927738498167231
