rp_min,rp_max,n_pairs,rp,ds_raw,ds,z_l,z_s,1+m,2R,1+m_sel,f_bias,ds_r,ds_err
0.1,0.15848931924611134,10101,0.12589254117941673,60.13642017114616,42.390154510125306,0.5953520774405824,1.7062110245277538,0.8512169930024617,1.6674895796120806,1.0092235222763006,1.0335011077882978,1.8007070455325196,3.698861727707387
0.15848931924611134,0.251188643150958,24478,0.19952623149688797,42.42907305906065,29.715903900883177,0.5940200372328017,1.6917192622428912,0.8551974303250941,1.668301397312014,1.0093600237976459,1.0332621014056267,1.2996287343971864,2.4305662032301387
0.251188643150958,0.3981071705534973,60162,0.31622776601683794,26.827847576530054,19.777128960010266,0.5944807220214421,1.680923384265701,0.857838581642542,1.6685862317851903,1.0108162753174608,1.0341552826551588,-0.18464137309898,1.6632604307401369
0.3981071705534973,0.6309573444801934,150503,0.5011872336272724,19.477231359448737,13.904875913909544,0.5946107685234272,1.6690670871780882,0.858142693698105,1.6686733523418713,1.0102589507381556,1.0341291540258797,0.3054445495710027,1.0351490303594615
0.6309573444801934,1.0,374882,0.7943282347242816,11.873637349446469,8.905102334959915,0.5945848648019572,1.6582333900187762,0.8579291737340101,1.6685936954606801,1.0103267264685614,1.0333628415454894,-0.2455303193839504,0.616811815873843
1.0,1.584893192461114,933424,1.2589254117941675,7.762929803300673,5.43792767165447,0.5946401774880526,1.657279199931974,0.8573680615410594,1.668500035075181,1.0102548857329412,1.0342185378595594,0.23197253490038192,0.4261844038062565
1.584893192461114,2.511886431509581,2338773,1.9952623149688804,4.569270273652271,3.3888362478542535,0.5946494988049043,1.655052956846962,0.8576099260648352,1.66857329837436,1.010217076496749,1.033905098349252,-0.05374944812413592,0.23753646150514768
2.511886431509581,3.981071705534973,5843232,3.16227766016838,2.2330150020135813,1.5896391177540787,0.5945052056359045,1.6545917729899295,0.8575869040173206,1.6685732132399669,1.0103497141978315,1.0337564280381832,0.04025044666499673,0.17178594619169293
3.981071705534973,6.309573444801933,14618526,5.011872336272724,1.4733811865614939,1.0840569307324701,0.5944802262411626,1.6533685529613353,0.8577054259944858,1.668590468770156,1.0103607683907274,1.0338267085863178,-0.008703001174059687,0.13050840611543738
6.309573444801933,10.0,36623731,7.943282347242816,1.0256652274656302,0.770802769725503,0.594394028367349,1.6527897754290677,0.8577133887965882,1.6686073533223442,1.0103055045610472,1.0346204561031227,-0.021697124928661465,0.10558849902224851
10.0,15.848931924611142,91726439,12.589254117941675,0.7988803402420145,0.6036130591113593,0.5944084877898455,1.6529663798816723,0.8576902675719118,1.6686167563946608,1.0103504370814105,1.0337561992559325,-0.0205912351869208,0.09244108296115057
15.848931924611142,25.11886431509582,230735684,19.952623149688808,0.6495525537504383,0.4923731251822256,0.5944120356290695,1.6523551344052048,0.8576932315062793,1.6686033266309104,1.010319469666888,1.03376116209088,-0.01834060054312386,0.08596165861764839
25.11886431509582,39.810717055349734,581347712,31.62277660168381,0.5059139613685563,0.37739114404127766,0.5944203541818015,1.652498054493413,0.8577516520914539,1.6685883133254646,1.0103231455941108,1.033036610630435,-0.008462887656464368,0.07058810230218282
