rp_min,rp_max,n_pairs,rp,ds_raw,ds,z_l,z_s,R_t,f_bias,ds_r,ds_err
0.1,0.15848931924611134,5541,0.12589254117941673,19.196027503045865,33.04663339713072,0.3610115979041509,0.8128385872892054,0.6068677816923862,1.1068888417564644,1.9657190298135045,7.412361232585966
0.15848931924611134,0.251188643150958,12215,0.19952623149688797,21.794963693611024,39.12769688741257,0.3604599691552989,0.8254784783177621,0.6218618304049766,1.1070351522801432,-0.32841741437581673,5.225329061757121
0.251188643150958,0.3981071705534973,27829,0.31622776601683794,11.210237169167819,20.23718897684911,0.3605073648177104,0.8317875528235371,0.6176979299188206,1.1065708836801367,-0.15468351632371463,4.004843604433389
0.3981071705534973,0.6309573444801934,66479,0.5011872336272724,6.539265027939227,10.862468611881033,0.3611293249922279,0.8396359601123318,0.6237963435883004,1.107711243795437,0.7496824884904103,2.5207745963813677
0.6309573444801934,1.0,162792,0.7943282347242816,5.702107946878129,10.269454139795476,0.3612294507324168,0.8442140017547005,0.6209110470378483,1.10726919960587,-0.1008985431011994,1.7100485780618349
1.0,1.584893192461114,398473,1.2589254117941675,3.3102691083194222,5.824969012186153,0.3612971358677476,0.8467641546980929,0.6201808169146085,1.1077656321411697,0.08782650054534479,0.9591423962945758
1.584893192461114,2.511886431509581,987724,1.9952623149688804,2.278438051526671,4.1839359765033235,0.36144583818329934,0.8484072069898491,0.6191668710971001,1.1072490922179135,-0.10943105385215209,0.6398150339159226
2.511886431509581,3.981071705534973,2460992,3.16227766016838,1.0180815674021142,2.0045231863844233,0.36154782003477504,0.8495274826565141,0.6191467178120321,1.1083484380562734,-0.18203251885481575,0.42009857923706934
3.981071705534973,6.309573444801933,6144938,5.011872336272724,0.5050205169764633,0.939866116121592,0.36161249101478077,0.8497554827087144,0.6192273269272407,1.106989818517846,-0.03704328171969133,0.30617291963717147
6.309573444801933,10.0,15397346,7.943282347242816,0.36834214578470803,0.7098664633019913,0.3616614205982487,0.8500170946677423,0.6186411295949084,1.108101016478842,-0.05009735544571323,0.20536419783212873
10.0,15.848931924611142,38670596,12.589254117941675,0.2857649692627295,0.5427710552373646,0.36183554359146447,0.8502949049326224,0.6185617234342498,1.1073825775040251,-0.03117918617442677,0.15759876878898613
15.848931924611142,25.11886431509582,96594602,19.952623149688808,0.2467150784748548,0.44044803745181726,0.36211553098969995,0.8506814426216516,0.6184837515759123,1.1083310714847183,0.0016686496571570036,0.1312506186863615
25.11886431509582,39.810717055349734,240760409,31.62277660168381,0.2179377970665853,0.3896715723043402,0.36243650048873943,0.8510435631975964,0.6186313570765974,1.1065215557141552,0.00014518609378750985,0.10299857118081232
